GALPÃO CEDIDO SÃO SEBASTIÃO - Cooperativa Ecolimpo;Mês;;;;Quantidade Mensal;;GALPÃO CEDIDO Varjão - Cooperativa CRV;Mês;;;;Quantidade Mensal Recebida;
;;;;;Recebida (Ton);;;;;;;(Ton);
;;Janeiro;;22,54;;;;;Janeiro;;52,69;;
;;Fevereiro;;21,35;;;;;Fevereiro;;44,68;;
;;Março;;21,40;;;;;Março;;43,68;;
;;Abril;;26,40;;;;;Abril;;73,85;;
;;Maio;;23,15;;;;;Maio;;54,48;;
;;Junho;;25,11;;;;;Junho;;46,43;;
;;Julho;;27,90;;;;;Julho;;59,52;;
;;Agosto;;26,36;;;;;Agosto;;69,05;;
;;Setembro;;25,28;;;;;Setembro;;69,49;;
;;Outubro;;32,46;;;;;Outubro;;75,12;;
;;Novembro;;27,90;;;;;Novembro;;65,36;;
;;Dezembro;;26,37;;;;;Dezembro;;70,21;;
;;TOTAL;;;306,223;;;;TOTAL;;;724,56;
