COLETA E TRANSPORTE DE RESÍDUOS SÓLIDOS DOMICILIARES EM ÁREAS COMUNS E DE DIFÍCIL ACESSO (EM TONELADAS);;;;;;;;;;;;;;
;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total lote;Média
Lote I;22.697,24;20.945,48;22.002,03;20.594,68;20.292,70;20.452,48;20.485,83;19.742,03;20.269,53;21.486,68;20.810,23;23.326,70;253.105,61;21.092,13
Lote II;19.754,75;18.176,82;19.247,03;18.174,55;17.994,80;18.521,92;18.970,63;18.360,59;18.548,17;19.487,62;18.686,04;20.789,53;226.712,45;18.892,70
Lote III;27.346,68;25.409,09;26.330,84;24.923,09;24.496,45;24.391,33;24.934,96;24.296,71;24.741,54;25.947,20;25.006,04;28.480,01;306.303,94;25.525,33
Total;69.798,67;64.531,39;67.579,90;63.692,32;62.783,95;63.365,73;64.391,42;62.399,33;63.559,24;66.921,50;64.502,31;72.596,24;786.122,00;65.510,17
