;TIPO DE DESPESA;;;TOTAL;;;MÉDIA/MÊS;
;Pessoal técnico administrativo;;R$ 8.598.656;;;R$ 716.555;;
;Limpeza Pública;;R$ 41.487.302;;;R$ 3.457.275;;
;Obras /Materiais Permanentes;;R$ 437.217;;;R$ 36.435;;
;Outros;;R$ 449.268;;;R$ 37.439;;
;Manutenção Administrativa;;R$ 807.749;;;R$ 67.312;;
;TOTAL;;;R$ 51.780.192;;;R$ 4.315.016;
