;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;118,50;;;140,34;;;138,23;;;137,06;;;141,86;;;130,65;;;170,24;;;137,95;;;148,26;;;185,29;;;156,60;;;179,49;;;;1.784,47;;;148,71;
;Asa sul;;124,39;;;222,01;;;109,33;;;130,53;;;131,30;;;116,20;;;120,00;;;115,09;;;95,51;;;115,47;;;113,43;;;135,00;;;;1.528,26;;;127,36;
;Brazlândia 1;;15,40;;;15,59;;;15,36;;;18,21;;;10,70;;;22,47;;;16,69;;;34,37;;;12,89;;;26,55;;;28,05;;;13,56;;;;229,84;;;19,15;
;Brazlândia 2;;18,53;;;18,28;;;28,32;;;13,23;;;28,58;;;14,86;;;12,84;;;11,62;;;13,74;;;20,63;;;13,58;;;28,27;;;;222,48;;;18,54;
;Ceilândia 1;;269,73;;;217,29;;;265,12;;;227,16;;;244,26;;;224,92;;;274,43;;;237,35;;;190,86;;;228,67;;;134,71;;;237,54;;;;2.752,04;;;229,34;
;Ceilândia 2;;168,04;;;182,93;;;218,09;;;167,83;;;192,64;;;196,06;;;219,09;;;170,86;;;213,91;;;221,23;;;195,09;;;226,27;;;;2.372,04;;;197,67;
;Gama 1;;195,72;;;148,93;;;177,14;;;176,74;;;187,56;;;153,72;;;190,74;;;171,30;;;180,30;;;229,92;;;178,13;;;179,84;;;;2.170,04;;;180,84;
;Gama 2;;138,55;;;145,26;;;149,71;;;148,91;;;175,86;;;146,79;;;166,43;;;153,56;;;150,84;;;197,03;;;160,44;;;172,66;;;;1.906,04;;;158,84;
;Guará 1;;327,94;;;171,75;;;172,52;;;194,35;;;170,66;;;173,45;;;190,89;;;195,11;;;163,65;;;195,97;;;221,12;;;230,93;;;;2.408,34;;;200,70;
;Guará 2;;175,06;;;174,49;;;192,26;;;184,46;;;180,24;;;133,69;;;157,66;;;152,94;;;180,13;;;242,54;;;195,81;;;204,04;;;;2.173,32;;;181,11;
;Lago Norte;;0,00;;;0,00;;;0,00;;;0,00;;;7,78;;;31,96;;;27,68;;;45,28;;;47,87;;;49,92;;;53,71;;;65,53;;;;329,73;;;27,48;
;Paranoá;;131,84;;;141,33;;;163,62;;;133,19;;;174,72;;;109,30;;;160,75;;;164,85;;;114,98;;;173,61;;;146,73;;;172,11;;;;1.787,03;;;148,92;
;Planaltina;;146,64;;;114,57;;;97,91;;;131,87;;;105,90;;;106,31;;;171,28;;;101,73;;;147,98;;;162,05;;;118,77;;;106,36;;;;1.511,37;;;125,95;
;Pôr do Sol;;87,56;;;103,02;;;109,34;;;74,26;;;122,04;;;102,40;;;122,52;;;102,11;;;110,80;;;97,99;;;92,31;;;136,23;;;;1.260,58;;;105,05;
;Recanto das Emas;;115,08;;;111,68;;;126,40;;;109,38;;;112,28;;;80,99;;;107,75;;;109,91;;;121,76;;;132,08;;;91,56;;;135,11;;;;1.353,98;;;112,83;
;Samambaia;;162,08;;;122,76;;;129,82;;;130,80;;;133,26;;;141,82;;;164,39;;;155,81;;;137,03;;;180,93;;;140,73;;;167,82;;;;1.767,25;;;147,27;
;Santa Maria 1;;134,44;;;110,82;;;137,72;;;122,24;;;140,54;;;120,23;;;145,28;;;133,04;;;120,86;;;162,21;;;123,58;;;141,58;;;;1.592,54;;;132,71;
;Santa Maria 2;;73,61;;;52,82;;;61,02;;;69,07;;;103,61;;;76,90;;;115,80;;;110,24;;;114,20;;;104,40;;;83,60;;;96,62;;;;1.061,89;;;88,49;
;São Sebastião 1;;63,15;;;56,89;;;80,03;;;54,11;;;71,82;;;81,50;;;111,78;;;103,69;;;82,69;;;121,12;;;90,64;;;99,36;;;;1.016,78;;;84,73;
;São Sebastião 2;;60,39;;;45,80;;;82,66;;;71,42;;;75,84;;;43,22;;;75,26;;;87,02;;;79,46;;;102,64;;;81,06;;;76,89;;;;881,66;;;73,47;
;Sobradinho I – 1;;109,02;;;130,84;;;139,99;;;149,51;;;152,00;;;148,29;;;181,13;;;151,07;;;173,17;;;221,64;;;166,09;;;176,49;;;;1.899,24;;;158,27;
;Sobradinho I – 2;;136,98;;;116,73;;;123,60;;;126,34;;;166,74;;;153,31;;;160,00;;;179,50;;;162,47;;;192,61;;;150,70;;;192,61;;;;1.861,59;;;155,13;
;Sobradinho II;;127,89;;;145,99;;;122,84;;;156,82;;;186,90;;;136,25;;;198,19;;;140,08;;;145,34;;;144,31;;;156,02;;;149,40;;;;1.810,03;;;150,84;
;Taguatinga;;267,23;;;212,93;;;219,92;;;215,96;;;231,53;;;209,93;;;258,82;;;310,54;;;218,93;;;283,95;;;239,39;;;244,75;;;;2.913,88;;;242,82;
;TOTAL;;;3.167,77;;;2.903,05;;;3.060,95;;;2.943,45;;;3.248,62;;;2.855,22;;;3.519,64;;;3.275,02;;;3.127,63;;;3.792,76;;;3.131,85;;;3.568,46;;;38.594,42;;;3.216,20;
