IRR PSUL;;
MÊS;QUANTIDADE MENSAL RECEBIDA (TON);QUANTIDADE MENSAL DE REJEITO (TON)
Janeiro;481,5;280,1
Fevereiro;405,4;215,4
Março;263,6;152,1
Agosto;138,2;80,7
Setembro;246,6;146,7
Outubro;321,5;204,8
Novembro;456,0;275,6
Dezembro;508,9;293,3
TOTAL;2.821,7;1.648,7
