;CONTRATAÇÃO;;;STATUS;
Construção de um novo sistema de Reservatórios de Qualidade e Quantidade (RQQ);;;Em execução;;
Registro de preços para eventual contratação de empresa especializada para execução de projeto de engenharia para a instalação de 20 (vinte) Pontos de Entrega de Voluntária (PEV) a ser definida conforme necessidade encontradas nas Regiões Administrativas do Distrito Federal.;;;Em execução;;
Contratação de Empresa de Engenharia especializada para construção de tanques para armazenamento de 50.000m³ de efluentes no ASB.;;;Concluído;;
Contratação de empresa especializada para Elaboração de Projeto Executivo de Concepção, Implantação, Operação, Manutenção e Encerramento da nova Unidade de Recebimento de Entulhos no Distrito Federal.;;;Em execução;;
