;RESULTADOS DOS CONTRATOS DE TRIAGEM - 2025 (CONTRATO ANTIGO);;;;;;;;;;;;;;;;
Associação/ Cooperativa;;;;Valor unitário por tonelada;;;Toneladas recuperadas em 2025;;;Valor pago pela;;Valor pago pelo Contrato;;;Receita Total;;
;;;;triada;;;(Janeiro a Maio);;;comercialização;;;;;;;
Acobraz;;;R$ 327,55;;;38,30;;;R$ 23.943,37;;;R$ 12.546,15;;;R$ 36.489,52;;
Ambiente;;;R$ 401,46;;;158,53;;;R$ 33.116,49;;;R$ 63.639,44;;;R$ 96.755,93;;
Apcorc;;;R$ 313,44;;;1.053,53;;;R$ 739.293,50;;;R$ 330.249,47;;;R$ 1.069.542,97;;
Cataguar;;;R$ 327,55;;;186,26;;;R$ 190.955,70;;;R$ 61.010,77;;;R$ 251.966,47;;
Construir;;;R$ 401,46;;;80,00;;;R$ 46.525,53;;;R$ 32.116,80;;;R$ 78.642,33;;
Coopativa;;;R$ 401,54;;;150,64;;;R$ 62.420,34;;;R$ 48.913,39;;;R$ 111.333,73;;
Cooperdife;;;R$ 401,54;;;127,24;;;R$ 49.402,96;;;R$ 51.087,93;;;R$ 100.490,89;;
Coopere;;;R$ 401,46;;;45,33;;;R$ 47.136,50;;;R$ 17.479,04;;;R$ 64.615,54;;
Cooperfé;;;R$ 353,58;;;489,09;;;R$ 338.372,33;;;R$ 203.503,43;;;R$ 541.875,76;;
Cooperlimpo;;;R$ 327,48;;;200,00;;;R$ 47.391,60;;;R$ 65.496,00;;;R$ 112.887,60;;
Coopernoes;;;R$ 401,46;;;90,00;;;R$ 60.736,56;;;R$ 17.482,93;;;R$ 78.219,49;;
Coorace;;;R$ 401,46;;;180,83;;;R$ 26.124,68;;;R$ 72.596,01;;;R$ 98.720,69;;
Cootraempocap - ASAS;;;R$ 410,61;;;999,46;;;R$ 374.745,01;;;R$ 412.807,32;;;R$ 787.552,33;;
Cortrap;;;R$ 401,46;;;85,77;;;R$ 49.520,92;;;R$ 16.511,66;;;R$ 66.032,58;;
Plasferro;;;R$ 401,46;;;160,51;;;R$ 95.607,69;;;R$ 30.510,96;;;R$ 126.118,65;;
Recicla Brasília;;;R$ 386,04;;;71,10;;;R$ 112.439,84;;;R$ 61.766,40;;;R$ 174.206,24;;
Recicla Mais Brasil;;;R$ 401,54;;;287,27;;;R$ 43.777,50;;;R$ 28.551,12;;;R$ 72.328,62;;
Recicle a Vida;;;R$ 401,54;;;70,00;;;R$ 602.811,30;;;R$ 120.462,28;;;R$ 723.273,58;;
Renascer;;;R$ 401,54;;;113,18;;;R$ 45.430,34;;;R$ 28.107,80;;;R$ 73.538,14;;
Renove;;;R$ 327,55;;;82,72;;;R$ 168.747,37;;;R$ 37.073,09;;;R$ 205.820,46;;
;TOTAL;;;;;;4.669,76;;;R$ 3.158.499,51;;;R$ 1.711.911,99;;;R$ 4.870.411,50;
