DIRETORIAS;COM CARGO;SEM CARGO;TOTAL
Presidência;30;24;54
Diretoria de Administração e Finanças;23;58;81
Diretoria de Limpeza Urbana;35;523;558
Diretoria de Modernização e Gestão Tecnológica;10;2;12
Diretoria de Técnica;16;46;62
Procuradoria Jurídica;5;0;5
;119;653;772
