Cooperativa Ecolimpo;;Março;;23,50;;;5,12;;
;;Abril;;20,15;;;3,41;;
;;Maio;;22,45;;;3,91;;
;;Junho;;24,20;;;4,31;;
;;Julho;;23,34;;;4,35;;
;;Agosto;;27,80;;;4,34;;
;;Setembro;;25,46;;;3,89;;
;;Outubro;;23,54;;;3,91;;
;;Novembro;;26,62;;;4,01;;
;;Dezembro;;27,14;;;3,76;;
;;TOTAL;;;301,20;;;53,01;
GALPÃO PRÓPRIO SOBRADINHO - Cooperativa Cooperdife;Mês;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de Rejeito;
;;;;;(Ton);;;(Ton);
;;Janeiro;;124,62;;;45,76;;
;;Fevereiro;;121,37;;;33,6;;
;;Março;;123,35;;;32,28;;
;;Abril;;126,3;;;26,81;;
;;Maio;;136,62;;;26,39;;
;;Junho;;130,3;;;27,28;;
;;Julho;;137,49;;;26,7;;
;;Agosto;;119,96;;;46,79;;
;;Setembro;;122,07;;;33,41;;
;;Outubro;;120,47;;;44,72;;
;;Novembro;;131,00;;;36,47;;
;;Dezembro;;118,05;;;20,94;;
;;TOTAL;;;1.509,57;;;401,15;
GALPÃO PRÓPRIO Varjão - Cooperativa CRV;Mês;;;;Quantidade Mensal Recebida;;;Quantidade Mensal de Rejeito;
;;;;;(Ton);;;(Ton);
;;Janeiro;;71,826;;;34,13;;
;;Fevereiro;;57,063;;;26,65;;
;;Março;;67,413;;;31,06;;
;;Abril;;55,579;;;26,39;;
;;Maio;;62,025;;;15,47;;
;;Junho;;55,519;;;17,81;;
;;Julho;;56,408;;;35,53;;
;;Agosto;;60,916;;;35,07;;
