Tipo deDespesa;2014;(%);2015;(%)
Pessoal;99.953.726;23%;83.381.168;19%
Limpeza Pública;329.759.370;74%;339.383.667;78%
Obras;5.064.028;1%;3.774.544;1%
Manutenção;8.570.162;2%;9.836.614;2%
Total;443.347.286;100%;436.375.993;100%
