;UTMB ASA SUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO - ASA SUL;;;;;;;
Mês;;;Operação e Manutenção;;;;Custo por;
;;;;;;;tonelada*;
;Janeiro;;R$ 776.127,87;;;R$ 80,04;;
;Fevereiro;;R$ 630.036,46;;;R$ 80,04;;
;Março;;R$ 714.319,38;;;R$ 80,04;;
;Abril;;R$ 680.690,58;;;R$ 80,04;;
;Maio;;R$ 698.557,10;;;R$ 80,04;;
;Junho;;R$ 663.430,75;;;R$ 80,04;;
;Julho;;R$ 828.087,59;;;R$ 85,18;;
;Agosto;;R$ 674.400,72;;;R$ 85,18;;
;Setembro;;R$ 790.425,25;;;R$ 85,18;;
;Outubro;;R$ 891.251,12;;;R$ 85,18;;
;Novembro;;R$ 807.123,09;;;R$ 85,18;;
;Dezembro;;R$ 854.791,52;;;R$ 85,18;;
;TOTAL;;;R$ 9.009.241,43;;;-;
;Média Mensal;;;R$ 750.770,12;;;-;
