APROVEITAMENTO DA COLETA SELETIVA NOS CTRs E IRRs;;;;;;;;
;DADOS;;;Índice;;;Valor;
;Coleta Seletiva realizada pelo SLU;;;Toneladas;;;58.786,63;
;Desvio para UTMB;;;Toneladas;;;14.669,79;
;Coleta Seletiva entregue nos CTRs e IRRs;;;Toneladas;;;44.116,84;
;Resíduos Comercializados;;;Toneladas;;;41.229,34;
