;IRR PSUL;;;;;
Mês;;;Quantidade Mensal;;Aproveitamento (%);
;;;Recuperada (Ton);;;
Janeiro;;205,66;;;42%;
Fevereiro;;208,74;;;44%;
Março;;235,84;;;45%;
Abril;;191,58;;;40%;
Maio;;191,12;;;38%;
Junho;;176,46;;;35%;
Julho;;231,47;;;46%;
