;21/2020;;;;;;;;
8;09/2021;VALOR AMBIENTAL LTDA;07/05/2021;"Prestação de serviços, emergencial, de: operação, controle e manutenção da usina tratamento mecânico biológico da Ceilândia; compostagem na Usina Tratamento Mecânico Biológico da Ceilândia; transporte de composto cru da Usina de Tratamento Mecânico Biológico da Asa Sul até a Usina de Tratamento Mecânico Biológico da Ceilândia; transporte de rejeito das usinas Ceilândia e Asa Sul até o Aterro Sanitário de Brasília; e transporte de chorume da UTMB - Ceilândia até o Aterro Sanitário de Brasília e/ou unidade de recebimento de entulho - URE";06/11/2021;GLOBAL: R$ 8.118.787,08;AILTON OLIVEIRA ROCHA / JOSÉ ROMILDO DOS SANTOS / FRANCILIO RIBEIRO JUNIOR / CÁSSIO MACIEL LEMOS;;
9;10/2021;SUSTENTARE SANEAMENTO S/A;12/05/2021;Prestação de serviços, em caráter emergencial, de operação e manutenção da Usina de Tratamento Mecânico Biológico da Asa Sul (UTMB - Asa Sul);09/11/2021;GLOBAL: R$ 2.740.608,00;AILTON OLIVEIRA ROCHA / JOSÉ NILTON ARRAIS DA SILVA / FRANCILIO RIBEIRO JUNIOR / CÁSSIO MACIEL LEMOS;;
10;03/2021;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA;05/03/2021;Serviços de coleta, transporte, tratamento e disposição final, de forma regular, dos resíduos de serviços de saúde;04/03/2022;GLOBAL: R$ 4.269,24;;EDBRUNA KARLA SOARES;
;;;;;;;;ARAUJO / ANDRÉ LUIZ;
;;;;;;;;JUNQUEIRA GUIMARÃES /;
;;;;;;;;FRANCISCO ANTONIO MENDES;
;;;;;;;;JORGE / MANOEL MESSIAS;
;;;;;;;;FRANCISCO SOUZA;
11;13/2021;FRAL CONSULTORIA LTDA;14/07/2021;Elaboração de projeto executivo da ampliação do Aterro Sanitário de Brasília (3ª e 4ª etapas);14/07/2022;GLOBAL: R$ 95.000,00;;JULIANA FRUTUOSO GOMES;
;;;;;;;;/ GUSTAVO PEREIRA DE;
;;;;;;;;MENEZES / EDMUNDO PACHECO;
;;;;;;;;GADELHA;
