;LICITAÇÕES FINALIZADAS – DISPENSA/INEXIGIBILIDADE (DEZ/2025);;;;;;;;;;;;;;;;;;
;PROCESSO;;;OBJETO;;;MODALIDADE;;VALOR;;;CONTRATADA;;;ID PNCP;;;CONTRATO/ATA;
00094-00003487/2024-20;;;CREDENCIAMENTO DE COOPERATIVAS/ASSOCIAÇÕES DE CATADORES PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS;;;CREDENCIAMENTO 1/2024 A PARTIR DE 22/8/2024;;;ENCERRADO EM 22/8/2025;;VER ITEM 2.5 - INEXIGIBILIDADES DE LICITAÇÃO FINALIZADAS;;;01567525000176-1- 000007/2024;;;VER ITEM 2.5 - INEXIGIBILIDADES DE LICITAÇÃO FINALIZADAS;;
00094-00005678/2023-45;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DOS SERVIÇOS PARA ELABORAÇÃO DE PROJETO PARA A IMPLANTAÇÃO DA EXPANSÃO DO ATERRO SANITÁRIO DE BRASÍLIA, CONTEMPLANDO APROVEITAMENTO ENERGÉTICO DOS GASES GERADOS NO MACIÇO DO ASB, BEM COMO ESTUDOS AMBIENTAIS DETALHADOS;;;CONCORRÊNCIA ELETRÔNICA Nº 90002/2024 ABERTURA EM 12/2/2024 ÀS 09H00;;;ESTIMADO R$ 1.594.241,83 HOMOLOGADO R$ 1.590.838,18;;FRAL CONSULTORIA LTDA CNPJ 03.559.597/0001-05;;;00394684000153-1- 000744/2024;;;CONTRATO 38/2025;;
00094-00006246/2023-51;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DA REFORMA DO TRANSBORDO DE SOBRADINHO E DO GAMA;;;CONCORRÊNCIA ELETRÔNICA Nº 90003/2024 ABERTURA EM 27/9/2024 ÀS 09H00;;;ESTIMADO R$ 10.614.059,00 HOMOLOGADO R$ 9.934.662,61 (6,4009%);;MC ENGENHARIA LTDA CNPJ 01.584.374/0001-64;;;00394684000153-1- 000743/2024;;;CONTRATO 27/2025;;
00094-00002940/2024-81;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DA IMPLANTAÇÃO DA;;;CONCORRÊNCIA ELETRÔNICA Nº 90004/2024;;;ESTIMADO R$ 4.290.483,47;;MC ENGENHARIA LTDA CNPJ 01.584.374/0001-64;;;00394684000153-1- 000792/2024;;;CONTRATO 26/2025;;
