CONTRATOS/CONVÊNIOS;ATÉ 2015;2016;2017;2018;2019;2020;VIGENTES
Manutenção Administrativa;7;5;6;5;9;8;22
Obras;;1;;;2;1;1
Aquisição de Equipamentos;;;;7;3;;0
Terceirizados;;1;;0;2;;3
Serviço de Limpeza Urbana;2;;;6;15;6;11
Coleta Seletiva;;4;;20;5;2;29
