;;JAN;FEV;MAR;ABR;MAI;JUN;;JUL;AGO;SET;OUT;NOV;DEZ;Total lote;Média;
;Lote I;786,71;696,08;762,71;670,17;664,76;689,88;;712,61;827,80;840,25;725,23;786,79;767,71;8.930,70;744,23;
;Lote II;446,37;404,03;446,59;480,57;421,92;489,54;;507,79;618,92;563,68;481,01;576,00;678,75;6.115,17;509,60;
;Lote III;1.027,45;968,53;991,90;791,67;771,09;749,26;;652,05;635,57;625,59;583,17;707,60;789,95;9.293,83;774,49;
;Total;2.260,53;2.068,64;2.201,20;1.942,41;1.857,77;1.928,68;;1.872,45;2.082,29;2.029,52;1.789,41;2.070,39;2.236,41;24.339,70;2.028,31;
