;PRINCIPAIS COMPRADORES DE MATERIAIS RECICLÁVEIS NO PERÍODO DE JANEIRO A MAIO DE 2025. (CONTRATO ANTIGO);;;
;Comprador;Soma de Peso (kg);Representação;
;CAPITAL RECICLAVEIS;1.154.461,20;25%;
;CENTCOOP;603.565,70;13%;
;ERESTRAUTY SERQUEIRA DANTAS;296.086,50;6%;
;II J.R.C. INDUSTIRA E COMERCIO LTDA;223.790,00;5%;
