ATENDIMENTO À IMPRENSA;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
Emissoras de TV;48;64;46;36;41;27;26;36;20;24;43;31
Jornais;8;13;7;11;5;10;2;9;18;8;10;7
Portais;14;11;8;5;5;5;0;13;6;6;8;0
Emissoras de Rádio;7;6;3;3;1;0;0;1;-;1;0;0
Outros;6;4;5;1;8;1;1;0;6;7;2;0
Total Parcial;83;98;69;56;60;43;29;59;50;46;63;38
Total;694;;;;;;;;;;;
