;TIPO DE DESPESA;;;TOTAL;
;Pessoal técnico administrativo;;-;;
;Limpeza Pública;;R$ 47.497.923;;
;Obras /Materiais Permanentes;;R$ 29.505;;
;Manutenção Administrativa;;R$ 98.587;;
;TOTAL;;;R$ 47.626.015;
