;;JAN;FEV;MAR;ABR;MAI;;;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total lote;Média;
;Lote I;13.714,17;13.150,88;13.271,33;11.788,16;11.154,91;;;11.857,31;12.220,51;13.363,96;12.319,80;12.226,32;11.249,73;16.057,83;152.374,91;12.697,91;
;Lote II;11.669,80;11.548,89;13.018,48;13.442,23;15.400,32;;;17.952,43;17.765,00;18.288,89;17.015,10;15.547,30;14.206,40;15.499,96;181.354,80;15.112,90;
;Lote III;15.617,69;18.824,78;19.943,94;19.599,08;27.380,04;;;24.495,99;22.224,82;20.668,04;20.202,66;19.578,66;16.463,75;21.989,77;246.989,22;20.582,44;
;Total;41.001,66;43.524,55;46.233,75;44.829,47;53.935,27;;;54.305,73;52.210,33;52.320,89;49.537,56;47.352,28;41.919,88;53.547,56;580.718,93;48.393,24;
