;QUANTITATIVOS DE RESÍDUOS ATERRADOS NO ATERRO SANITÁRIO DE BRASÍLIA (EM TONELADAS);;;;;;;;;;;;;;;;
;;;;2018;;;2019;;;2020;;;2021;;;2022;
;Média diária (t);;2.082,2;;;2.224,6;;;2.280,8;;;2.113,2;;;1.996,0;;
;Total aterrado (t);;749.608,6;;;800.872,1;;;821.089,8;;;760.763,0;;;718.554,2;;
