8. CUSTOS DE SERVIÇOS As empresas contratadas para os serviços de limpeza urbana e de coleta e destinação de resíduos dos serviços de saúde receberam juntas, em média, R$ 27,8 milhões por mês ao longo do ano de 2021.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTE I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
o ã ç ir r a V;la u n a m;s a iv e d;R$ 4.123.353,90;;;R$ 3.927.804,68;;;R$ 4.413.037,83;;;R$ 4.101.927,66;;;R$ 4.119.712,90;;;R$ 4.253.427,07;;;R$ 4.324.237,96;;;R$ 4.212.698,13;;;R$ 4.216.489,77;;;R$ 4.229.671,80;;;R$ 4.388.169,53;;;R$ 4.454.786,30;;
a te lo C;a v ite le S;;R$ 779.193,60;;;R$ 749.973,84;;;R$ 840.068,10;;;R$ 805.978,38;;;R$ 801.920,08;;;R$ 804.900,37;;;R$ 880.271,35;;;R$ 844.573,71;;;R$ 842.951,09;;;R$ 841.328,47;;;R$ 877.791,03;;;R$ 1.030.671,30;;
a te lo C;la n o ic n e v n o c;U S R e d;R$ 2.434.519,07;;;R$ 2.247.810,56;;;R$ 2.355.082,81;;;R$ 2.142.158,93;;;R$ 2.121.201,14;;;R$ 2.233.691,89;;;R$ 2.266.740,44;;;R$ 2.314.457,44;;;R$ 2.365.758,62;;;R$ 2.469.637,18;;;R$ 2.803.345,56;;;R$ 4.437.802,00;;
a te lo C;e d la u n a m;s o h lu tn e;R$ 205.436,60;;;R$ 205.436,60;;;R$ 205.436,60;;;R$ 205.436,60;;;R$ 205.436,60;;;R$ 203.394,25;;;R$ 205.348,40;;;R$ 205.348,40;;;R$ 205.348,40;;;R$ 205.348,40;;;R$ 199.339,55;;;R$ 125.039,06;;
a te lo C;e d a d a z in a c e m;s o h lu tn e;R$ 632.797,53;;;R$ 623.984,78;;;R$ 651.241,00;;;R$ 650.368,29;;;R$ 621.833,11;;;R$ 624.492,51;;;R$ 654.534,90;;;R$ 620.364,13;;;R$ 580.048,81;;;R$ 620.649,02;;;R$ 641.950,78;;;R$ 746.883,75;;
e d a z e p m iL;e s o tn e m a p iu q e;s o c ilb ú P s n e B;R$ 125.421,22;;;R$ 125.421,22;;;R$ 125.421,22;;;R$ 125.421,22;;;R$ 125.421,22;;;R$ 125.379,82;;;R$ 125.367,38;;;R$ 125.367,38;;;R$ 125.367,38;;;R$ 125.367,38;;;R$ 131.222,00;;;R$ 124.184,88;;
m e o ã ç a ta C;e d r e V a e r Á;;R$ 761.983,29;;;R$ 761.983,29;;;R$ 761.983,29;;;R$ 761.983,29;;;R$ 761.983,29;;;R$ 761.731,71;;;R$ 761.656,23;;;R$ 761.656,23;;;R$ 761.656,23;;;R$ 761.656,23;;;R$ 820.247,48;;;R$ 1.029.463,08;;
Página | 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
