;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;7.069,00;8.244,00;7.101,00;7.090,00;7.487,00;7.187,00;7.407,00;7.055,00;7.001,00;7.332,00;6.882,00;7.166,00;87.021,00;7.251,75
Lote II;1.865,00;1.817,00;1.892,00;1.533,00;2.395,00;2.337,00;2.360,00;2.404,00;2.466,00;2.493,00;2.267,00;2.315,00;26.144,00;2.178,67
Lote III;3.223,00;3.208,00;3.357,00;3.352,00;3.360,00;3.360,00;3.362,00;3.363,00;3.360,00;3.426,00;2.915,30;3.363,00;39.649,30;3.304,11
Total;12.157,00;13.269,00;12.350,00;11.975,00;13.242,00;12.884,00;13.129,00;12.822,00;12.827,00;13.251,00;12.064,30;12.844,00;152.814,30;12.734,53
