;;Tipo de Despesa;;;;
;;PESSOAL TÉCNICO ADMINISTRATIVO;LIMPEZA PÚBLICA;OBRAS /MAT. PERM.;MANUTENÇÃO ADM.;TOTAL MENSAL
)$R( adicehnocer adivíD;JAN;;;;;
;FEV;;;;;
;MAR;;;;;
;ABR;;;;54.210;54.210
;MAI;;;;;
;JUN;;;;20.958;20.958
;JUL;;;;;
;AGO;;;;;
;SET;;;;;
;OUT;;;;;
;NOV;;;;;
;DEZ;;;;;
;TOTAL;;;;75.168;75.168
;MÉDIA/MÊS;;;;6.264;6.264
