;MÊS;;;TOTAL DOAÇÃO (T);
;Janeiro;;;35,81;
;Fevereiro;;;17,32;
;Março;;;131,58;
;Abril;;;251,29;
;Maio;;;102,76;
;Junho;;;141,37;
;Julho;;;76,71;
;Agosto;;;67,91;
;Setembro;;;16,26;
;Outubro;;;5,16;
;Novembro;;;4,24;
;Dezembro;;;16,50;
;TOTAL;;;866,91;
