;Ceilândia;;;7,62%;
Cruzeiro;;;1,12%;;
Gama;;;1,58%;;
;Guará;;;7,53%;
Itapoã;;;0,40%;;
Lago Norte;;;2,89%;;
Lago Sul;;;1,17%;;
Núcleo Bandeirante;;;0,30%;;
Paranoá;;;0,40%;;
Park Way;;;0,03%;;
Planaltina;;;0,12%;;
;Plano Piloto;;;33,66%;
Recanto das Emas;;;1,72%;;
Riacho Fundo;;;1,10%;;
Samambaia;;;1,32%;;
Santa Maria;;;2,70%;;
São Sebastião;;;0,70%;;
SIA;;;0,01%;;
Sobradinho;;;3,92%;;
Sudoeste;;;6,89%;;
Varjão;;;1,19%;;
;Taguatinga;;;8,64%;
Vicente Pires;;;1,13%;;
Total Geral;;;100%;;
