PROGRAMA DE TRABALHO;LEI;ALTERAÇÃO;CONTIN- GENCIADO;COTA;BLOQUE- ADO;DESP. AU- TORIZADA;EMPENHADO;DISPONÍ- VEL;LIQUIDADO
Modernização de Sistema de Informação;890.948,00;-711.392,00;153.642,28;19.373,40;0,00;6.540,32;6.540,00;0,32;6.540,00
Conservação das Estruturas Físicas de Edificações Públicas;113.994,00;-39.332,00;54.170,50;18.094,67;0,00;2.396,83;2.396,17;0,66;2.396,17
Gestão da Informação e dos Sistemas de Tecnologia;3.558.298,00;-973.284,00;719.027,51;0,00;0,00;1.865.986,49;1.865.986,49;0,00;1.692.663,84
Administração de Pessoal;117.226.129,00;-9.747.052,00;0,00;0,00;0,00;107.479.077,00;107.479.076,39;0,61;107.381.844,09
Concessão de Benefícios a Servidores;10.104.170,00;-1.720.502,00;0,00;0,00;0,00;8.383.668,00;8.383.667,40;0,60;8.383.667,40
Manutenção de Serviços Administrativos Gerais;7.850.777,00;1.221.193,00;1.463.469,31;84.189,88;0,00;7.524.310,81;6.956.080,07;568.230,74;6.335.247,07
Publicidade e Propaganda Institucional;255.000,00;-4.437,00;130.900,00;66.662,50;0,00;53.000,50;53.000,00;0,50;42.870,00
Publicidade e Propaganda Utilidade Pública;120.000,00;0,00;73.200,00;46.800,00;0,00;0,00;0,00;0,00;0,00
