;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;;23.009,19;;;19.750,23;;;20.309,88;;;20.604,88;;;20.413,42;;;18.833,42;;;19.767,29;;;19.559,26;;;20.638,97;;;21.195,95;;;21.562,14;;;26.466,23;;;252.110,86;;;21.009,24;
;Lote II;;;18.651,83;;;15.689,95;;;16.248,51;;;16.412,34;;;16.029,05;;;15.269,35;;;15.768,88;;;15.467,03;;;16.160,66;;;16.642,43;;;17.400,10;;;20.434,45;;;200.174,58;;;16.681,22;
;Lote III;;;24.134,30;;;20.987,04;;;21.739,60;;;22.379,82;;;22.054,39;;;19.978,55;;;21.807,12;;;21.283,35;;;22.293,11;;;22.827,70;;;23.913,91;;;28.709,10;;;272.107,99;;;22.675,67;
;Total;;;65.795,32;;;56.427,22;;;58.297,99;;;59.397,04;;;58.496,86;;;54.081,32;;;57.343,29;;;56.309,64;;;59.092,74;;;60.666,08;;;62.876,15;;;75.609,78;;;724.393,43;;;60.366,12;
