;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;;Média;
;NURES (Psul);19.749,21;14.592,12;15.760,63;14.116,96;14.884,36;13.409,58;11.916,26;13.951,34;14.585,17;14.878,24;17.488,19;16.675,17;182.007,23;;15.167,27;
;NUCOP (L4 Sul;) 9.967,29;8.973,73;10.630,92;8.741,37;9.281,95;8.360,37;3.146,49;7.156,99;8.625,04;8.993,36;9.323,85;8.192,91;101.394,27;;8.449,52;
;Total;29.716,50;23.565,85;26.391,55;22.858,33;24.166,31;21.769,95;15.062,75;21.108,33;23.210,21;23.871,60;26.812,04;24.868,08;283.401,50;;23.616,79;
