(EPI) Construção de Unidade de Transbordo;-;300.000,00;;;300.000,00;-;;-;-
Construção de Unidade de Transbordo;109.000,00;- 109.000,00;;;;-;;-;-
Manutenção das Atividades de Limpeza Pública;350.597.032,00;72.761.943,00;0,10;;;423.358.974,90;423.358.974,90;-;386.038.182,85
Manutenção das Instalações de Recuperação de Resíduos - IRR;5.706.577,00;- 4.237.644,00;20.775,25;;;1.448.157,75;1.448.157,75;-;1.416.066,79
Tratamento e Manejo de Resíduos de Saúde;1.200.000,00;- 1.200.000,00;;;;-;;-;-
Fechamento do Aterro do Jóquei e Recuperação Ambiental;55.891,00;- 50.427,00;0,66;;;5.463,34;5.463,34;-;5.463,34
Construção de Pontos de Entrega Voluntária - PEV's;101.000,00;400.022,00;22.398,37;1,27;;478.622,36;478.622,36;-;478.622,36
(EPI) Construção de Pontos de Entrega Voluntária - PEV's;600.000,00;- 320.000,00;;;279.999,00;1,00;;1,00;-
(EPI) Construção de Pontos de Entrega Voluntária - PEV's;800.000,00;- 800.000,00;;;;-;;-;-
(EPI) Construção de Pontos de Entrega Voluntária - PEV's - Guará;400.000,00;- 400.000,00;;;;-;;-;-
(EPI) Construção de Pontos de Entrega Voluntária - PEV's;800.000,00;- 800.000,00;;;;-;;-;-
Recuperação de Unidades Operacionais de Manejo de Resíduos Sólidos;1.500.000,00;2.329.123,00;;;;3.829.123,00;3.829.071,99;51,01;3.829.071,99
Construção de Unidades Operacionais de Manejo de Resíduos Sólidos;1.500.000,00;2.601.413,00;77.076,56;;;4.024.336,44;3.959.269,17;65.067,27;3.959.269,17
Construção do Aterro Sanitário de Brasília;101.000,00;;100.999,00;1,00;;-;;-;-
Promoção da Educação Ambiental e Ações Sustentáveis;61.000,00;- 60.999,00;;1,00;;-;;-;-
Inclusão Produtiva dos Catadores;4.815.858,00;- 3.963.319,00;;0,31;;852.538,69;547.538,77;304.999,92;547.538,77
