DIRETORIAS;COM CARGO;SEM CARGO;TOTAL
Presidência;31;16;47
Diretoria de Administração e Finanças;25;46;71
Diretoria de Limpeza Urbana;34;464;498
Diretoria de Modernização e Gestão Tecnológica;10;4;14
Diretoria Técnica;17;47;64
Procuradoria Jurídica;5;0;5
Total;122;577;699
