;;JAN;;;FEV;;;MAR;;;ABR;;MAI;;;JUN;;;JUL;;;AGO;SET;;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
Lote I;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;2,000;;;2,000;;;2,000;;2,000;;2,000;;;2,000;;;2,000;;;24,000;;;2,000;;
Lote II;1,960;;;2,000;;;2,000;;;2,000;;;1,840;;2,000;;;1,963;;;2,000;;2,000;;2,000;;;2,000;;;2,000;;;23,763;;;1,980;;
Lote III;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;2,000;;;2,000;;;2,000;;2,000;;2,000;;;2,910;;;3,000;;;25,910;;;2,159;;
Total;;5,960;;;6,000;;;6,000;;;6,000;;5,840;;;6,000;;;5,963;;;6,000;6,000;;;6,000;;;6,910;;;7,000;;;73,673;;;6,139;
