CONTRATO Nº;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;TÉRMINO DA VIGÊNCIA;;EXECUTORES E SUPLENTES
;;;;;VALOR (R$);
10/2023;EMPRESA NOTORIUN TECNOLOGIA EM SOFTWARE LTDA;28/08/2023;O CONTRATO TEM POR OBJETO A PRESTAÇÃO DE SERVIÇOS NA ÁREA DE TECNOLOGIA DA INFORMAÇÃO REALIZANDO A SUSTENTAÇÃO/MANUTENÇÃO DOS SISTEMAS DE MONITORAMENTO DE LIMPEZA URBANA (SIMLUR), GISGESTÃO, RESÍDUOS CONSTRUÇÃO CIVIL (RCC) E DESENVOLVIMENTO DE OUTROS SISTEMAS, CONSOANTE ESPECIFICA O EDITAL DE LICITAÇÃO DO PREGÃO ELETRÔNICO Nº 09/2023- SLU/DF (114394922), E A PROPOSTA DE PREÇOS (117209918).;27/08/2025;R$ 740.000,00;PERCILIO EUGÊNIO JUNIOR, VICTOR ALEXSANDER OLIVEIRA SILVA
01/2024;FRAL CONSULTORIA LTDA;24/01/2024;ELABORAÇÃO DE PROJETO EXECUTIVO COMPLETO DE CONCEPÇÃO, IMPLANTAÇÃO, OPERAÇÃO E MANUTENÇÃO DA NOVA UNIDADE DE RECEBIMENTO DE ENTULHOS, CONFORME ESPECIFICAÇÕES;23/01/2026;R$ 1.739.978,61;FERNANDO EDSON OLIVEIRA PEREIRA, GUILLERMO MARTINUSSO RODRIGUES, ANA SOFIA CAVALCANTI JUCÁ, FABIANE THAIS
