4º TRIMESTRE;;;;;;;;;;
;;;CURSO;;Módulo 6 do programa de Capacitação Técnica de servidores do SLU;FRAL;;3;;
;;;;;Módulo 7 do programa de Capacitação Técnica de servidores do SLU;;;2;;
;;;;;Contratação de Ações de Capacitação e Treinamento: Análise sob a Perspectiva da Nova Lei de Licitações e Contratos e Jurisprudência Atual do TCU;ELO;;2;;
;;;;;Atuação Gerencial das Ouvidorias para Melhoria da Gestão Pública;ENAP;;1;;
;;;;;Avaliação da qualidade de serviços como base para gestão e melhoria de serviços públicos;;;1;;
;;;;;Como Fiscalizar com Eficiência Contratos Públicos;;;1;;
;;;;;Compras Sustentáveis e a Nova Lei de Licitações;;;1;;
;;;;;Metodologia de Concepção do Alerta: da teoria à prática;;;1;;
;;;;;E-liderança: Como Gerenciar e Liderar Equipes em Ambientes Remotos;;;1;;
;;;;;Ética e Serviço Público;;;1;;
;;;;;Introdução à Vigilância Sanitária;;;1;;
;;;;;Nova Lei de Licitações: Visão Geral;;;1;;
;;;;;Inteligência Emocional;;;1;;
;;;;;Planejamento Estratégico para Organizações Públicas;;;1;;
;;;;;Importância do acompanhamento, do crescimento e do desenvolvimento da criança;EGOV;;1;;
;;;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;;1;;
;;;;;Gestão e fiscalização de contratos;;;2;;
;;;;;Servidor público 4.0 – Como a inovação pode transformar o serviço público e acelerar a sua carreira?;;;1;;
;;;;;Parcerias Público-Privadas (PPP);;;1;;
;;;;;Língua Brasileira de Sinais (Libras) - Módulo Intermediário I;;;1;;
;;;;;Lei de Licitações e Contratos - Lei nº 14.133, de 1º de abril de 2021;;;4;;
;;;;;Ambientação para os Novos Ouvidores;;;1;;
;;;;;Elaboração de Planejamentos Estratégicos Institucionais - PEI;;;1;;
;;;;;Planejamento Estratégico;;;4;;
;;;;;Sistema Único de Gestão de Recursos Humanos (SIGRH) – Módulo: Acerto de contas;;;1;;
;;;;;Como atribuir níveis de acesso no SEI-GDF – bases e mecanismos;;;1;;
;;;;;Comunicando em LIBRAS;;;1;;
;;;;;Gestão de riscos na Administração Pública;;;35;;
;;;;;Elaboração de Projeto Básico e Termo de Referência;;;24;;
;;;;;Assédio na Administração Pública – Combate e Prevenção;;;1;;
;;;;;Modelo de governança para os Comitês Internos de Governança (CIGs) – diretrizes práticas;;;3;;
;;;;;Produzindo resultados de ouvidoria;;;1;;
;;;;;SIGRHWEB - Extrator de dados;;;2;;
;;;;;Curso Prático de Orçamento e Execução Financeira;;;1;;
;;;;;III seminário de combate e prevenção ao assédio no setor público;;;1;;
;;;PALESTRA;;Palestra - Assédio na Administração Pública – Combate e Prevenção;;;32;;
;;;CURSO;;Avaliação Preliminar;AESAS/SENAC;;11;;
;;;;;Estudos de Caracterização Gravimétrica dos resíduos em construção civil de volumosos e podas;ADASA/SLU;;1;;
;;;;;Ética no Setor Público;ABELINE;;1;;
;;;;;Comitês de Bacia Hidrográfica;CBH;;1;;
;;;;;XII Congresso Consad de Gestão Pública;CONSAD;;19;;
;;;;CERTIFICADOS EMITIDOS NO 4º TRIMESTRE;;;;;96;
;TOTAL DE CERTIFICADOS;;;;;;;;552;
