;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;SET;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;2,0;2,0;;2,0;;;2,0;;;;24,0;;;2,0;
;Lote II;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;2,0;2,0;;2,0;;;1,9;;;;23,9;;;2,0;
;Lote III;;3,0;;;3,0;;;3,0;;;3,0;;;2,9;;;3,0;;;3,0;;;3,0;2,3;2,4;;3,0;;;3,0;;;;34,6;;;2,9;
;Total;;;7,0;;;7,0;;;7,0;;;7,0;;;6,9;;;7,0;;;7,0;;7,0;6,3;6,4;;;7,0;;;6,9;;;82,5;;;6,9;
